Date,Keyboard,Mouse
17-12-2016,0,1
18-12-2016,3,30
19-12-2016,0,3
20-12-2016,16,16
20-12-2016,0,3
20-12-2016,16,10
20-12-2016,8,9
20-12-2016,0,1
21-12-2016,0,12
21-12-2016,9,6
21-12-2016,0,3
21-12-2016,26,4
21-12-2016,0,2
22-12-2016,18,15
22-12-2016,0,2
22-12-2016,8,3
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
22-12-2016,0,1
