Date,Keyboard,Mouse
09-01-2017,0,4
09-01-2017,0,4
09-01-2017,8,21
09-01-2017,8,25
09-01-2017,0,12
09-01-2017,0,12
09-01-2017,518,366
10-01-2017,10998,2264
10-01-2017,4,258
10-01-2017,210,19
10-01-2017,22,62
10-01-2017,0,4
10-01-2017,17,26
11-01-2017,12129,1757
12-01-2017,11,10
12-01-2017,1256,226
12-01-2017,9808,1506
13-01-2017,9265,1432
13-01-2017,0,8
13-01-2017,330,315
14-01-2017,0,12
14-01-2017,7,13
15-01-2017,1,212
15-01-2017,0,3
15-01-2017,0,3
15-01-2017,0,10
15-01-2017,7,16
15-01-2017,22,28
15-01-2017,20,102
16-01-2017,8713,1707
16-01-2017,797,122
16-01-2017,6,5
16-01-2017,14,64
16-01-2017,24,101
17-01-2017,0,3
17-01-2017,3,2
17-01-2017,7948,1485
17-01-2017,63,146
18-01-2017,0,7
18-01-2017,1204,150
18-01-2017,6280,1076
18-01-2017,580,256
19-01-2017,13081,2452
19-01-2017,230,43
19-01-2017,204,119
20-01-2017,2610,261
20-01-2017,8384,1432
20-01-2017,0,4
20-01-2017,562,83
20-01-2017,40,158
21-01-2017,17,133
21-01-2017,47,288
21-01-2017,0,3
22-01-2017,72,238
23-01-2017,0,12
23-01-2017,666,109
23-01-2017,7296,1612
23-01-2017,0,4
23-01-2017,194,198
23-01-2017,104,180
24-01-2017,11,5
24-01-2017,7345,1458
24-01-2017,664,224
25-01-2017,1062,222
25-01-2017,9216,1739
25-01-2017,0,7
25-01-2017,3,34
26-01-2017,27,17
26-01-2017,2712,424
26-01-2017,5740,1146
26-01-2017,6,12
26-01-2017,0,8
26-01-2017,40,139
26-01-2017,24,21
27-01-2017,102,37
27-01-2017,0,14
27-01-2017,38,18
27-01-2017,11,20
28-01-2017,0,41
11-09-2017,7,5
11-09-2017,0,27
10-06-2018,0,12
10-06-2018,0,41
16-11-2019,0,5
